trading_dt,gold_last_month,plat_last_month,mkt_rf,mkt_rf_3,mkt_rf_12,vix
1980-11-30,662.27,719.9,0.09614937061067397,3.328083651826426e-4,-0.009224388493723229,NA
1980-12-31,623.875,677.3,-0.044685968924838004,-0.029682317159951694,-0.0144213496792961,NA
1981-01-31,596.712,641.7,-0.050464976590288035,-0.002763313896550749,-0.0137234082613125,NA
1981-02-28,557.813,612.1,0.006103994035270954,0.006859960596169816,-0.012255543587984983,NA
1981-03-31,500.8,456.7,0.036071040865364834,0.005197256759309339,-0.01765489681829835,NA
1981-04-30,499.693,441.7,-0.021595153112126342,-0.014959869139567927,-0.0221479608504135,NA
1981-05-31,496.625,520.5,0.0011158825246895265,-0.0129494740170083,-0.017685165457615948,NA
1981-06-30,480.316,479.9,-0.024400336831266967,-0.0368925368039165,-0.021062490524770067,NA
1981-07-31,460.5,460.7,-0.01556396774444746,-0.05268660050934352,-0.02162385442506945,NA
1981-08-31,409.284,417.1,-0.07071330583603508,-0.031140848919237074,-0.022952537406633333,NA
1981-09-30,410.24,388.7,-0.07178252794754802,0.003692198487374454,-0.0077204920387854885,NA
1981-10-31,443.773,435.3,0.04907328702587188,0.015516150500212192,-6.708886121236842e-4,NA
1981-11-30,437.68,421.2,0.033785836383799506,-0.011791812011864375,0.004628618181391135,NA
1981-12-31,413.405,415.7,-0.03631067190903481,-0.042616505715960686,0.005706161258852667,NA
1982-01-31,410.119,393.6,-0.03285060051035782,-0.036461524252954756,0.009231595573893053,NA
1982-02-28,384.163,387.5,-0.058688244728489436,-0.014858526882354043,0.014946680454236694,NA
1982-03-31,374.458,364.3,-0.017845727520017007,-0.008433118066577538,0.022002770069284038,NA
1982-04-30,330.413,345.5,0.031958391601444314,-0.012863443438191716,0.025874176990093655,NA
1982-05-31,350.335,320.2,-0.03941201828115992,-0.03401896181307784,0.028770076360234386,NA
1982-06-30,334.505,324.8,-0.03113670363485954,0.016475457140021816,0.032506992944432385,NA
1982-07-31,314.961,284.1,-0.03150816352321406,0.03112526274243954,0.03764428791984164,NA
1982-08-31,337.895,275.5,0.11207123857813905,0.0791837734328608,0.0368508015489534,NA
1982-09-30,363.413,296.6,0.01281271317239363,0.05739881167792708,0.027079653166748364,NA
1982-10-31,438.15,320,0.1126673685480497,0.05512608724427914,0.026769463742194455,NA
1982-11-30,422.786,297.7,0.0467163533133379,0.029480437079517863,0.014504009084235667,NA
1982-12-31,415.114,360.9,0.005994539871449822,0.022569929525764792,0.01243210242524446,NA
1983-01-31,444.776,371.8,0.03573041805376587,0.030108801411847647,0.010411827745770466,NA
1983-02-28,481.838,403.3,0.025984830652078683,0.04043505674163672,0.0057582569400723704,NA
1983-03-31,493.488,489.1,0.028611155529698395,0.03358377343401586,-4.211590793030869e-4,NA
1983-04-30,420.707,388.6,0.06670918404313309,0.034217000280800214,-0.0022777293939130008,NA
1983-05-31,433.171,413.2,0.005430980729216106,-0.0016960610582017848,-0.00826280753663631,NA
1983-06-30,437.393,439.2,0.03051083607005145,-0.005233901970714272,-0.013696096883594938,NA
1983-07-31,413.148,422.2,-0.04102999997387291,-0.012374033968149178,-0.014739324020574327,NA
1983-08-31,422.645,438.7,-0.005182542008321356,-0.010203396426010128,-0.013594215911215604,NA
1983-09-30,416.205,448.6,0.009090440077746731,-0.0011913912880885391,-0.004608179624648638,NA
1983-10-31,412.245,441.1,-0.03451808734745576,-0.010304456741416815,-0.0060367078796078055,NA
1983-11-30,394.245,393.4,0.021853473405443413,-0.005502571497135326,-0.003869898357680257,NA
1983-12-31,381.016,381.8,-0.0182487562822381,-0.028843116492425398,-0.007154449184622574,NA
1984-01-31,388.06,409.2,-0.020112431614611292,-0.020649427146886223,-0.00410496814474276,NA
1984-02-29,370.735,387.8,-0.048168161580426805,-0.015649201165198006,0.004225527409287777,NA
1984-03-31,386.038,394.4,0.006332311754379427,-0.019515977783151544,0.009251395852357161,NA
1984-04-30,394.743,404.6,-0.005111753669546637,-0.015629378225845092,0.008030636882347028,NA
1984-05-31,381.371,394.2,-0.05976849143428742,-0.02302169455651896,0.00765629783409318,NA
1984-06-30,376.957,395.3,0.01799211042629878,0.03111776706507093,0.01687903239238687,NA
1984-07-31,378.314,396.5,-0.027288702661568243,0.02243643059571691,0.016446921812254257,NA
1984-08-31,347.598,379,0.10264989343048225,0.028693873788131263,0.018102159280978303,NA
1984-09-30,347.677,345.2,-0.008051898981763284,-0.011376469527984287,0.00870254414115266,NA
1984-10-31,340.945,325.4,-0.00851637308432518,-0.0025774978019566333,0.005599275191468023,NA
1984-11-30,340.217,329.2,-0.017561136517864395,0.02687913157073681,0.009657646258960614,NA
1984-12-31,341.286,327.9,0.018345016196319675,0.03678026365549355,0.01652998965995468,NA
1985-01-31,319.622,317.5,0.07985351503375515,0.027892992961472924,0.018232264751672566,NA
1985-02-28,302.852,279.2,0.012142259736405814,-0.001926119465976391,0.012139915945114516,NA
1985-03-31,299.833,277.4,-0.00831679588574219,0.010994568376967292,0.017075317844275878,NA
1985-04-30,303.205,250.1,-0.009603822248592797,0.01803576149378383,0.021833866393665514,NA
1985-05-31,324.883,271.1,0.05090432326523686,0.01876175123102153,0.021541024373359603,NA
